building_id,building_type,year_built,num_buildings,num_floors,total_gfa,building_gfa,parking_gfa,property_type,primary_use,primary_use_gfa,secondary_use,secondary_use_gfa
1,NonResidential,1927,1,12,88434,88434,0,Hotel,Hotel,88434,,
2,NonResidential,1996,1,11,103566,88502,15064,Hotel,Hotel,83880,Parking,15064
3,NonResidential,1969,1,41,961990,961990,0,Hotel,Hotel,757243,Parking,100000
5,NonResidential,1926,1,10,61320,61320,0,Hotel,Hotel,61320,,
8,NonResidential,1980,1,18,119890,107430,12460,Hotel,Hotel,123445,Parking,68009
9,Nonresidential COS,1999,1,2,97288,60090,37198,Other,Police Station,88830,,
10,NonResidential,1926,1,11,83008,83008,0,Hotel,Hotel,81352,,
11,NonResidential,1926,1,8,102761,102761,0,Other,Other - Entertainment/Public Assembly,102761,,
12,NonResidential,1904,1,15,163984,163984,0,Hotel,Hotel,163984,,
13,Multifamily MR (5-9),1910,1,6,63712,62216,1496,Mid-Rise Multifamily,Multifamily Housing,56132,,
15,NonResidential,1969,1,11,153163,133884,19279,Hotel,Hotel,,,
16,NonResidential,1998,1,25,333176,272015,61161,Hotel,Hotel,336640,,
17,NonResidential,1928,1,9,65009,65009,0,Hotel,Hotel,65009,,
18,NonResidential,1980,1,33,315952,258352,57600,Hotel,Hotel,295511,Parking,57600
19,NonResidential,1922,1,11,67390,67390,0,Hotel,Hotel,,,
21,Nonresidential COS,2004,1,11,412000,355000,57000,Other,Library,364913,Parking,49000
22,NonResidential,1930,1,6,103911,103911,0,Other,Fitness Center/Health Club/Gym,90000,Office,40000
23,NonResidential,1983,1,28,416281,331281,85000,Hotel,Hotel,348329,Parking,85000
24,NonResidential,1907,1,5,57452,57452,0,Mixed Use Property,Social/Meeting Hall,16442,Restaurant,15505
25,NonResidential,1916,1,10,104352,104352,0,Hotel,Hotel,,,
26,NonResidential,1916,1,10,540360,540360,0,Other,Courthouse,537150,,
27,NonResidential,1985,1,19,385274,385274,0,Other,Other,385274,,
28,SPS-District K-12,1961,1,2,56228,56228,0,K-12 School,K-12 School,58320,,
29,NonResidential,2001,1,6,88592,58006,30586,Hotel,Hotel,58006,Parking,30586
30,NonResidential,1928,1,7,126593,126593,0,College/University,College/University,125000,,
31,NonResidential,1930,1,2,67224,67224,0,Other,Automobile Dealership,67224,,
32,NonResidential,1991,1,8,158676,128375,30301,Hotel,Hotel,112676,Parking,42000
33,NonResidential,2001,1,10,171866,133585,38281,Hotel,Hotel,128909,,
34,SPS-District K-12,1955,1,1,126351,126351,0,K-12 School,K-12 School,126351,,
35,NonResidential,1978,1,5,68410,52210,16200,Hotel,Hotel,47994,,
36,SPS-District K-12,1949,1,2,160645,160645,0,K-12 School,K-12 School,164229,,
37,SPS-District K-12,1989,1,2,51582,51582,0,K-12 School,K-12 School,55166,,
38,NonResidential,1906,1,3,87262,87262,0,Small- and Mid-Sized Office,Office,40943,K-12 School,18153
40,NonResidential,1994,1,4,81871,81871,0,Hotel,Hotel,81871,,
41,NonResidential,1955,1,2,126394,126394,0,"Self-Storage Facility
",Self-Storage Facility,26225,,
46,NonResidential,1961,7,2,714095,714095,0,"Distribution Center
",Distribution Center,,,
50,SPS-District K-12,1990,1,2,54986,54986,0,K-12 School,K-12 School,54986,,
51,SPS-District K-12,1950,1,2,175565,175565,0,K-12 School,K-12 School,182861,,
52,NonResidential,1961,1,2,94900,94900,0,Small- and Mid-Sized Office,Office,55586,Non-Refrigerated Warehouse,39314
53,NonResidential,1900,1,2,52554,52554,0,Small- and Mid-Sized Office,Office,51029,Other - Education,7849
54,NonResidential,1954,1,3,175015,175015,0,K-12 School,K-12 School,175015,,
55,NonResidential,1911,1,3,70586,70586,0,"Self-Storage Facility
",Self-Storage Facility,38439,Vocational School,28197
56,NonResidential,1969,1,24,332210,126240,205970,Hotel,Hotel,348630,,
57,NonResidential,1973,1,5,168115,168115,0,Large Office,Office,103501,Retail Store,65676
58,NonResidential,1920,1,2,57428,57428,0,Retail Store,Retail Store,34617,Non-Refrigerated Warehouse,13028
59,NonResidential,1910,1,8,59400,59400,0,Small- and Mid-Sized Office,Office,34947,Retail Store,4993
60,NonResidential,1926,1,2,52549,52549,0,Mixed Use Property,Other - Entertainment/Public Assembly,23500,Restaurant,23500
61,Multifamily LR (1-4),1900,1,4,48383,48383,0,Low-Rise Multifamily,Multifamily Housing,38172,Retail Store,10211
62,NonResidential,1930,1,20,98634,88591,10043,Hotel,Hotel,83591,Parking,10043
63,NonResidential,1982,1,34,994212,847518,146694,Hotel,Hotel,994212,Parking,117668
65,NonResidential,1985,1,7,71150,71150,0,Hotel,Hotel,41340,Parking,13730
66,NonResidential,1908,1,7,122810,122810,0,Hotel,Hotel,88360,Other - Entertainment/Public Assembly,26450
67,NonResidential,1959,1,5,113173,70627,42546,Hotel,Hotel,,,
68,NonResidential,2000,1,7,150453,115718,34735,Hotel,Hotel,107547,Restaurant,3000
69,NonResidential,1997,1,6,116300,88100,28200,Hotel,Hotel,88490,Parking,28300
70,NonResidential,1998,1,6,155602,118858,36744,Hotel,Hotel,155602,,
73,NonResidential,1911,1,3,56072,56072,0,K-12 School,K-12 School,56072,,
77,NonResidential,1999,1,4,122942,78051,44891,Hotel,Hotel,78051,Parking,44891
82,NonResidential,1962,1,2,54984,54984,0,Small- and Mid-Sized Office,Office,54984,,
84,NonResidential,1922,1,5,217603,217603,0,Senior Care Community,Senior Care Community,296313,Parking,0
85,NonResidential,1970,1,2,93397,93397,0,Senior Care Community,Senior Care Community,93397,,
86,NonResidential,2008,1,6,84103,63371,20732,Hotel,Hotel,63371,Parking,20732
87,SPS-District K-12,1948,1,2,53352,53352,0,K-12 School,K-12 School,53352,,
89,NonResidential,1965,1,3,179014,179014,0,Medical Office,Medical Office,179014,,
95,NonResidential,1908,1,7,76631,76631,0,Hotel,Hotel,76631,,
96,NonResidential,1983,1,6,187600,169107,18493,Mixed Use Property,Medical Office,40174,Parking,20868
98,NonResidential,1929,1,2,58320,58320,0,Retail Store,Retail Store,72072,,
100,NonResidential,2010,1,5,316306,316306,0,Large Office,Office,261826,Parking,150726
102,NonResidential,1990,1,7,282863,238097,44766,Hotel,Hotel,235788,Parking,51537
103,Nonresidential COS,1962,1,1,129000,129000,0,Other,Other,368000,,
104,Nonresidential COS,1962,1,1,91213,91213,0,Other,Other,65000,,
106,Nonresidential COS,1938,1,5,396085,396085,0,Other,Other,278500,,
107,NonResidential,2010,1,12,571329,571329,0,Large Office,Office,598801,Parking,310699
110,Nonresidential COS,1962,1,2,49680,49680,0,Other,Other,52000,,
111,Nonresidential COS,1928,1,1,60696,60696,0,Other,Other,108000,,
112,Nonresidential COS,1928,1,2,262048,262048,0,Other,Other,296000,,
113,NonResidential,1986,1,2,66240,63888,2352,Small- and Mid-Sized Office,Office,45900,Data Center,5181
114,NonResidential,2010,1,6,920598,616891,303707,Large Office,Office,729584,Parking,185014
115,NonResidential,1970,1,4,76213,50283,25930,Small- and Mid-Sized Office,Office,48546,Parking,21454
116,NonResidential,2002,1,6,117738,80804,36934,Hotel,Hotel,59976,Parking,36934
117,NonResidential,1962,1,4,50017,50017,0,Hotel,Hotel,50017,Swimming Pool,0
118,SPS-District K-12,1999,1,3,74468,74468,0,K-12 School,K-12 School,74768,,
119,NonResidential,1923,1,3,67743,67743,0,K-12 School,K-12 School,67743,,
120,NonResidential,1908,1,6,194104,194104,0,K-12 School,K-12 School,194104,,
121,NonResidential,2003,1,3,99433,63681,35752,Small- and Mid-Sized Office,Office,63681,Parking,35752
122,SPS-District K-12,1991,1,2,58933,58933,0,K-12 School,K-12 School,60725,,
125,SPS-District K-12,1957,1,1,130862,130862,0,K-12 School,K-12 School,132060,,
