building_id,num_years_certified,first_certified,last_certified,es_score,site_eui,site_eui_wn,source_eui,source_euiwn,site_energy_use,site_energy_use_wn,steam_use,electricity,natural_gas,other_fuel_use,ghg,ghg_per_sqft,compliant,outlier
1,,,,65,78.9,80.3,173.5,175.1,6981428,7097539,2023032,3686160,1272388,0,249.43,2.64,TRUE,
2,,,,51,94.4,99,191.3,195.2,8354235,8765788,0,3905411,4448985,0,263.51,2.38,TRUE,
3,,,,18,96.6,99.7,242.7,246.5,73130656,75506272,19660404,49762435,3709900,0,2061.48,1.92,TRUE,
5,,,,1,460.4,462.5,636.3,643.2,28229320,28363444,23458518,2769023,2001894,0,1936.34,31.38,TRUE,High Outlier
8,,,,67,120.1,122.1,228.8,227.1,14829099,15078243,0,6066245,8763105,0,507.70,4.02,TRUE,
9,,,,,135.7,146.9,313.5,321.6,12051984,13045258,0,7271004,4781283,0,304.62,2.81,TRUE,
10,,,,25,76.9,79.6,149.5,158.2,6252842,6477493,0,2679698,3573255,0,208.46,2.37,TRUE,
11,,,,,62.5,71.8,152.2,160.4,6426022,7380086,2003108,4108004,315079,0,199.99,1.77,TRUE,
12,,,,46,77.0,82.9,174.6,186.8,12633744,13589025,0,7355649,5278400,0,331.61,1.83,TRUE,
13,,,,2,81.7,92.7,178.1,190.8,4587231,5203458,1483476,2370050,733803,0,170.00,2.51,TRUE,
15,,,,48,101.1,107.2,200.8,205.2,14719853,15615929,3623542,6337531,4759044,0,576.63,3.59,TRUE,
16,,,,32,82.3,83.1,207.2,208.0,27717026,27970822,5426396,19058722,3232700,0,723.40,1.93,TRUE,
17,,,,39,104.7,96.8,166.5,158.2,6807227,6292213,1987163,1615057,3205074,0,334.87,5.04,TRUE,
18,,,,56,77.2,77.2,183.2,183.2,22811690,22811690,4731090,14090906,3990280,0,675.34,1.95,TRUE,
19,,,,14,166.1,175.7,317.4,326.0,10711451,11329230,4403788,4089407,2218425,0,486.25,6.95,TRUE,
21,,,,,46.0,45.3,140.8,137.6,16849234,16594622,703184,16146718,0,0,166.84,0.24,TRUE,
22,,,,,79.5,83.4,173.7,178.4,10340282,10843936,4398022,5288219,654260,0,411.09,3.74,TRUE,
23,,,,30,95.5,97.4,231.9,234.7,33270518,33922016,0,21932264,11339166,0,755.12,1.59,TRUE,
